age,annual_income,employment_years,loan_amount,loan_term,credit_history_years,credit_accounts,late_payments,debt_to_income,credit_utilization,savings_balance,existing_loans,education_level,employment_type,home_ownership,default_risk
59,1359257.56,0.2,1356967.86,12,6.3,6,1,0.2993,0.2743,1097184.42,2,High School,Self-employed,Rent,1
49,399772.08,2.6,256454.47,36,12.5,6,3,0.1056,0.4436,597825.72,0,Graduate,Self-employed,Own,0
35,891276.04,8.6,1246774.47,36,3.1,3,1,0.2106,0.2688,157175.54,1,Postgraduate,Contract,Rent,1
28,247771.47,3.1,257384.88,36,5.2,5,1,0.3249,0.6441,503105.46,1,Graduate,Contract,Mortgage,1
41,2042021.29,7.0,633095.54,24,9.6,8,0,0.4309,0.139,113859.93,3,Graduate,Salaried,Own,0
59,549752.33,0.0,214792.6,48,7.4,4,2,0.2449,0.6795,386283.57,1,High School,Salaried,Own,0
39,684986.28,16.9,632357.15,48,7.7,7,2,0.0755,0.5409,59729.25,0,Graduate,Salaried,Rent,1
43,717263.02,4.9,364168.18,24,3.1,9,1,0.3305,0.7435,239403.18,2,High School,Self-employed,Own,1
31,907899.91,10.8,367275.44,24,6.7,7,1,0.1408,0.6051,406885.9,0,High School,Salaried,Own,0
31,281863.63,4.7,668985.67,24,11.5,4,1,0.349,0.3013,138608.04,3,Graduate,Self-employed,Own,0
44,648095.01,7.7,331724.8,60,0.6,5,0,0.6718,0.4312,294032.24,3,Graduate,Salaried,Own,1
56,452437.44,12.0,177851.88,36,4.2,3,1,0.5141,0.3267,114859.64,0,High School,Self-employed,Mortgage,0
60,256650.67,10.7,738112.46,36,0.5,4,0,0.3052,0.6015,229474.47,1,High School,Salaried,Own,1
44,1118663.08,5.2,213665.6,24,9.1,6,0,0.3758,0.5152,122452.29,1,Graduate,Salaried,Own,0
23,535540.88,5.5,629536.49,48,11.9,5,2,0.3404,0.0644,346633.18,0,High School,Contract,Mortgage,0
42,742749.32,10.0,846995.46,60,6.3,3,3,0.2077,0.1568,65461.54,1,Postgraduate,Salaried,Mortgage,1
22,717582.08,15.3,352544.39,48,3.0,5,2,0.3283,0.515,79900.56,2,Graduate,Salaried,Rent,1
44,540667.03,6.8,970466.55,36,3.1,7,2,0.4008,0.5982,511590.23,1,High School,Salaried,Mortgage,1
50,1926070.91,13.8,615482.8,12,5.8,7,1,0.3948,0.5145,25163.06,4,Graduate,Contract,Rent,0
58,633320.62,5.0,286270.64,24,5.8,9,0,0.4987,0.1295,107786.24,4,Graduate,Self-employed,Own,0
22,275916.58,9.8,1118984.03,12,10.6,1,0,0.1592,0.1873,160660.37,2,Graduate,Contract,Rent,0
41,521527.82,10.4,214253.72,24,4.3,6,3,0.1282,0.3648,238737.14,4,Graduate,Contract,Own,1
53,855621.46,4.4,352268.02,24,8.7,3,2,0.1725,0.1177,122818.99,4,High School,Self-employed,Own,0
32,871224.48,3.0,393524.36,24,5.8,6,1,0.1891,0.372,73138.01,2,Graduate,Salaried,Own,0
42,357341.84,10.6,666901.92,36,4.0,2,0,0.2892,0.7217,480093.65,2,Graduate,Salaried,Own,0
45,1083755.65,3.9,929158.4,60,5.7,3,2,0.2382,0.4157,418034.13,2,Graduate,Salaried,Own,1
47,246508.27,2.4,892085.6,36,8.3,4,0,0.3049,0.3189,132890.44,1,Graduate,Salaried,Rent,1
48,1219561.59,3.3,520444.88,60,10.7,5,0,0.2665,0.7039,42966.47,2,Graduate,Self-employed,Mortgage,0
36,314609.13,3.9,375054.99,48,6.0,2,0,0.1373,0.4423,229956.77,1,Graduate,Salaried,Own,0
35,573947.25,9.4,137326.02,24,2.2,4,0,0.5405,0.6722,208170.46,0,Graduate,Salaried,Own,1
23,1167342.57,8.1,191531.59,48,11.0,6,1,0.4918,0.7484,105563.2,1,Graduate,Salaried,Mortgage,0
57,694196.79,8.9,1418809.83,24,3.4,4,2,0.1344,0.3227,37671.6,1,Graduate,Salaried,Rent,1
27,1018571.62,7.7,136428.52,48,8.0,6,0,0.2734,0.4889,144852.14,1,High School,Self-employed,Own,0
41,913457.13,3.6,270244.92,36,6.9,8,0,0.2561,0.1482,332354.27,4,Graduate,Salaried,Own,0
29,1318724.29,8.8,946945.62,60,6.4,4,1,0.2423,0.7447,374911.77,1,Graduate,Self-employed,Rent,0
59,1165829.09,10.7,515718.58,24,5.1,4,0,0.2151,0.7992,173748.56,1,High School,Salaried,Own,0
38,506443.61,8.3,822605.61,24,9.5,7,0,0.2701,0.1889,109308.93,3,Postgraduate,Contract,Mortgage,0
24,920659.5,7.8,640395.54,60,0.5,6,4,0.2523,0.3531,323930.06,1,Graduate,Salaried,Rent,1
45,280723.12,2.9,1169669.18,12,11.5,4,1,0.2216,0.2606,72482.75,0,Graduate,Salaried,Own,1
34,629625.16,6.8,545266.86,48,3.3,4,0,0.4938,0.8041,60893.48,0,High School,Self-employed,Own,0
29,1019572.77,2.7,692624.92,48,8.6,6,0,0.0938,0.5168,167701.98,2,Graduate,Salaried,Own,0
46,699655.85,5.9,281037.28,60,8.4,4,0,0.103,0.1797,620244.94,2,Graduate,Salaried,Own,0
22,830995.36,0.0,658763.12,60,12.1,2,0,0.2618,0.382,639136.84,2,High School,Salaried,Mortgage,0
40,578057.04,0.0,347848.01,60,7.8,6,0,0.2091,0.6162,62723.4,2,Graduate,Salaried,Own,0
48,1209497.85,5.2,335200.47,12,3.7,8,1,0.2747,0.4162,126868.43,1,Postgraduate,Contract,Own,1
27,621877.85,3.8,804980.35,48,0.6,4,2,0.3336,0.31,1261521.08,0,Graduate,Salaried,Mortgage,1
28,503193.49,6.4,808598.72,48,5.6,2,1,0.2738,0.4407,103774.7,2,Graduate,Salaried,Rent,1
55,1058445.86,5.5,1348482.26,48,0.5,5,0,0.254,0.1304,657699.48,2,Graduate,Salaried,Mortgage,0
34,300105.6,6.1,1292545.3,24,4.5,5,0,0.4168,0.3141,392982.59,4,High School,Salaried,Mortgage,1
37,856231.43,8.4,816888.36,48,5.8,9,2,0.501,0.2294,466679.79,0,Postgraduate,Salaried,Rent,0
56,366356.05,4.1,147077.25,60,4.2,4,0,0.2417,0.064,125998.78,0,Postgraduate,Contract,Own,0
60,1312687.86,5.1,1476220.26,60,7.2,5,1,0.3309,0.2763,129017.58,1,Graduate,Salaried,Own,0
24,563071.93,11.8,817234.9,36,6.1,5,1,0.0976,0.3552,86874.44,1,High School,Contract,Own,1
22,700093.54,6.0,273537.45,12,5.7,9,1,0.0828,0.2022,341047.58,1,High School,Salaried,Mortgage,0
26,815569.04,5.3,722732.04,36,0.5,4,1,0.3124,0.2979,48606.14,3,High School,Self-employed,Own,0
24,224897.75,6.3,229298.55,48,1.8,3,2,0.2145,0.6678,157943.36,3,Graduate,Contract,Own,1
49,454478.54,5.4,672738.81,48,9.6,4,6,0.115,0.8392,665497.16,2,High School,Salaried,Rent,1
38,1153922.88,3.2,191267.32,36,10.2,6,4,0.1294,0.1012,289625.54,1,Graduate,Self-employed,Own,0
46,1047585.35,2.0,266108.9,12,0.5,6,3,0.097,0.3874,401443.85,1,Graduate,Salaried,Own,0
54,759484.62,2.9,713870.46,36,3.7,7,4,0.2366,0.5991,48313.95,1,High School,Salaried,Mortgage,1
30,309440.99,9.5,903814.34,36,11.3,6,0,0.2524,0.7383,81262.97,1,Graduate,Salaried,Own,1
56,896949.24,3.5,556007.37,60,4.1,6,2,0.3198,0.6577,464184.47,2,High School,Self-employed,Rent,0
34,962315.29,5.4,373619.53,48,6.6,7,0,0.2083,0.7264,199055.33,2,Postgraduate,Salaried,Rent,0
51,667027.87,8.8,113816.16,36,12.8,1,4,0.3387,0.4567,78354.5,5,Graduate,Salaried,Own,1
35,1273744.65,4.9,392832.72,36,5.6,4,1,0.3774,0.7915,297099.08,2,Graduate,Contract,Mortgage,0
28,446341.73,8.5,636518.12,12,5.0,2,1,0.3448,0.166,117461.39,1,High School,Salaried,Mortgage,1
34,491052.33,0.0,366262.49,60,6.4,7,2,0.2772,0.2953,1370600.36,0,Postgraduate,Salaried,Own,0
43,165742.6,5.5,443444.18,36,14.4,2,1,0.4648,0.2715,290668.04,3,Graduate,Contract,Rent,1
60,1078015.89,6.3,398854.32,36,8.8,8,1,0.0408,0.166,86044.74,1,Graduate,Salaried,Rent,0
41,772472.53,6.1,365088.04,36,7.1,4,0,0.2747,0.2257,364225.43,1,High School,Salaried,Rent,1
36,257745.12,0.0,472750.56,48,4.9,4,1,0.0399,0.1709,655089.26,3,Graduate,Self-employed,Mortgage,1
38,247087.6,10.8,376906.11,48,9.2,4,2,0.2792,0.6473,179144.61,0,Graduate,Salaried,Rent,1
44,402230.58,2.6,1149848.87,48,9.6,4,0,0.3723,0.352,97378.98,1,Postgraduate,Salaried,Own,1
46,1005745.39,7.3,107240.65,24,2.7,5,2,0.0392,0.378,186496.8,3,Postgraduate,Salaried,Own,1
45,551021.65,6.0,315591.89,36,9.7,6,2,0.1743,0.4709,110246.55,0,Graduate,Self-employed,Mortgage,1
49,417522.97,10.0,255591.65,24,6.4,5,0,0.6038,0.2685,146394.48,3,Postgraduate,Salaried,Mortgage,0
35,373758.03,14.7,518878.36,48,7.1,3,2,0.2844,0.714,59256.9,1,High School,Salaried,Mortgage,0
21,364661.96,0.8,473140.17,12,3.5,4,2,0.1132,0.3583,362537.83,5,High School,Salaried,Own,0
45,224404.29,3.4,1291646.58,36,5.4,5,3,0.4398,0.6266,71774.81,1,High School,Salaried,Mortgage,1
27,334589.58,6.8,1599569.67,60,2.9,3,1,0.131,0.6356,292799.01,1,High School,Self-employed,Mortgage,1
29,360738.9,1.6,272256.15,60,2.7,4,1,0.3382,0.0777,141129.34,3,Postgraduate,Salaried,Mortgage,1
